角色名,总时长(时:分:秒.毫秒),音频数量,标注数量
艾依曼,0:00:44.271000,10,10
艾尔海森,1:45:27.585000,1070,1070
艾尔菲,0:00:09.289000,3,3
艾希拉,0:00:06.036000,2,2
艾德娜,0:00:26.007000,6,6
艾德里安,0:01:48.525000,13,13
艾拉·马斯克,0:00:02.017000,1,1
艾拉姆,0:01:11.708000,9,9
艾文,0:06:00.015000,75,75
艾斯特尔,0:00:02.460000,1,1
艾方索,0:00:10.724000,4,4
艾玛尔,0:00:03.860000,1,1
艾珂,0:00:03.005000,1,1
艾琪诺,0:00:03.421000,1,1
艾琳,0:04:17.641000,53,53
艾登,0:00:08.021000,2,2
艾米尔,0:00:26.517000,7,7
艾维娜,0:00:07.171000,2,2
艾莉丝,0:11:30.304000,82,82
艾莉亚,0:00:07.068000,2,2
艾莎,0:00:47.120000,5,5
艾莲娜,0:00:06.148000,2,2
艾贝,0:00:22.897000,8,8
艾辛多弗,0:00:22.735000,4,4
艾迪丝博士,0:00:12.855000,3,3
芊芊,0:01:36.288000,16,16
芙卡洛斯,0:13:01.624000,80,80
芙宁娜,2:05:17.529000,908,908
芙萝拉,0:02:54.219000,44,44
芙蓉,0:00:40.083000,9,9
芝拉,0:00:09.372000,2,2
芬德,0:00:01.841000,1,1
芭芭拉,1:05:37.581000,748,748
花初,0:00:04.715000,2,2
芷巧,0:04:54.367000,46,46
芷若,0:00:04.093000,1,1
苏二娘,0:00:02.637000,1,1
苏尔塔尼,0:00:10.864000,2,2
苏莱卡,0:00:08.271000,2,2
苏西,0:01:04.201000,13,13
若心,0:03:27.213000,23,23
若紫,0:00:02.648000,1,1
若陀龙王,0:01:06.149000,9,9
苦恼的特利芙,0:00:01.680000,1,1
苦恼的莉安,0:00:02.333000,1,1
茂才公,0:03:15.393000,27,27
范二爷,0:00:32.571000,7,7
范兵卫,0:00:12.633000,2,2
茅葺一庆,0:00:35.877000,6,6
茉莉,0:00:03.609000,1,1
茱塔,0:00:06.200000,1,1
茱萸,0:00:04.011000,1,1
茶博士刘苏,0:01:15.299000,4,4
荒川幸次,0:00:26.392000,4,4
荒泷一斗,2:07:14.795000,1199,1199
荒谷,0:02:37.460000,25,25
荣江,0:00:09.753000,2,2
荧,2:23:44.172000,376,376
荫山,0:00:40.253000,9,9
荷尔德林,0:00:03.132000,1,1
莉兹,0:00:02.063000,1,1
莉尔,0:00:09.489000,2,2
莉拉,0:00:11.247000,2,2
莉莉,0:00:06.467000,2,2
莉莉安,0:01:46.704000,18,18
莎塔,0:00:07.903000,2,2
莎拉,0:07:17.409000,95,95
莎梅耶,0:00:06.073000,2,2
莎莉,0:00:10.729000,2,2
莎莎,0:00:02.368000,1,1
莎莎妮,0:00:07.767000,2,2
莎菲,0:00:09.300000,2,2
莎菲亚,0:00:05.025000,2,2
莎迪耶,0:00:04.020000,1,1
莫塞伊思,0:05:51.741000,65,65
莫娜,1:31:21.935000,908,908
莫孜甘,0:00:09.891000,2,2
莫尔吉,0:01:36.983000,16,16
莫约,0:00:11.117000,3,3
莫莉,0:00:15.783000,3,3
莫莱妮,0:00:16.415000,4,4
莫里斯,0:02:00.404000,28,28
莱依拉,2:14:17.780000,974,974
莱克图尔,0:00:51.452000,7,7
莱内,0:00:07.796000,1,1
莱奥尼德,0:01:06.352000,15,15
莱拉,0:00:09.367000,2,2
莱斯,0:00:18.493000,6,6
莱斯利,0:00:01.939000,1,1
莱斯格,0:05:43.083000,46,46
莱斯科·德斯特雷,0:00:38.203000,5,5
莱昂,0:04:33.619000,36,36
莱欧斯利,1:10:45.421000,709,709
莱蒂法,0:01:35.767000,16,16
莱诺,0:00:14.561000,5,5
莲塔,0:00:14.340000,4,4
莺儿,0:09:12.607000,83,83
菜菜子,0:02:12.964000,21,21
菱田,0:00:17.256000,4,4
菲利克斯,0:01:58.533000,20,20
菲尔戈黛特,0:04:10.848000,53,53
菲尔汀,0:01:42.143000,14,14
菲德兰,0:00:01.911000,1,1
菲恩,0:00:24.877000,5,5
菲米尼,0:46:26.761000,326,326
菲茨罗伊,0:00:58.643000,9,9
菲谢尔,1:02:01.353000,446,446
菲谢尔的母亲,0:00:34.808000,4,4
菲谢尔的父亲,0:00:22.631000,2,2
萍姥姥,0:39:27.609000,268,268
萨义德,0:00:13.073000,3,3
萨勒,0:00:09.415000,2,2
萨哈尔,0:00:11.169000,2,2
萨基,0:00:02.133000,1,1
萨塔尔,0:01:17.948000,13,13
萨宾,0:00:04.057000,1,1
萨尔姆,0:00:09.045000,2,2
萨尼娅,0:00:11.136000,4,4
萨德赫,0:00:31.731000,6,6
萨拉尔,0:00:19.511000,4,4
萨福万,0:01:59.661000,17,17
萨纳德,0:00:11.788000,4,4
萨蒂,0:00:08.207000,2,2
萨赫哈蒂,0:06:10.507000,41,41
萨齐因,0:05:33.643000,32,32
落,0:00:03.647000,1,1
落霞,0:00:03.504000,1,1
葛瑞丝,0:02:42.999000,22,22
葛罗丽,0:00:44.631000,9,9
葫芦,0:00:03.240000,1,1
葵,0:03:19.959000,28,28
蒂亚,0:00:07.152000,2,2
蒂埃里,0:03:13.328000,27,27
蒂玛乌斯,0:15:42.977000,151,151
蒂雅,0:00:07.928000,2,2
蒙蒙,0:00:02.264000,1,1
蒲泽,0:00:50.685000,7,7
蓝川丞,0:00:57.111000,14,14
蔡乐,0:00:23.567000,5,5
蔡寻,0:00:36.435000,7,7
蕾娅,0:00:04.455000,2,2
薇娜,0:02:10.747000,18,18
薇尔,0:02:41.316000,24,24
薇涅尔,0:00:02.257000,1,1
薇若妮卡,0:02:44.653000,33,33
薮木,0:00:04.308000,1,1
藤原俊子,0:00:02.431000,1,1
藤木,0:01:13.400000,17,17
虎之助,0:00:01.973000,1,1
蛮横的守卫,0:00:03.863000,1,1
行秋,0:53:55.483000,524,524
表情低落的犯人,0:00:44.812000,5,5
表情狰狞的犯人,0:00:29.253000,5,5
裕子,0:00:41.165000,12,12
裕明,0:00:46.691000,10,10
西口,0:00:03.452000,1,1
西尔弗,0:02:06.744000,41,41
西拉杰,0:06:12.896000,52,52
西敏,0:00:30.643000,8,8
西格,0:00:08.015000,2,2
西瓦尼,0:02:23.544000,19,19
西西,0:00:41.853000,4,4
西达,0:00:42.357000,5,5
西风骑士,0:00:03.444000,2,2
观众,0:00:41.913000,11,11
观海,0:01:31.521000,19,19
詹妮特,0:00:05.361000,1,1
认可的观众,0:00:13.108000,2,2
认真的观众,0:00:05.843000,1,1
讥讽的观众,0:00:05.579000,1,1
诗筠,0:05:27.003000,62,62
诗羽,0:00:18.739000,3,3
诚二,0:00:10.840000,2,2
诺拉,0:00:15.243000,6,6
诺曼,0:00:32.971000,7,7
诺玛,0:00:02.677000,1,1
诺艾尔,1:19:59.019000,962,962
谢尔盖,0:01:45.388000,19,19
谢赫祖拜尔,0:05:08.039000,51,51
豁牙子,0:00:03.741000,1,1
贝儿,0:00:43.333000,10,10
贝哈姆,0:00:10.139000,2,2
贝妮蒂,0:00:22.940000,4,4
贝尔卡塞姆,0:00:14.895000,4,4
贝尔福,0:00:27.769000,4,4
贝拉特,0:00:09.705000,2,2
贝海姆,0:00:10.535000,2,2
贝琳达,0:01:06.101000,18,18
贝西,0:00:13.684000,3,3
贝雅特丽奇,0:04:23.699000,64,64
贝鲁兹,0:00:06.537000,2,2
质疑的观众,0:00:09.783000,1,1
贵安,0:00:07.443000,1,1
费尔比,0:00:15.113000,2,2
费索勒,0:02:52.267000,32,32
费罗兹,0:00:06.235000,2,2
费迪南德,0:05:48.071000,76,76
费雷斯特,0:00:17.903000,3,3
贾扬特,0:00:20.789000,3,3
贾拉康,0:02:51.807000,15,15
贾汉,0:00:27.997000,7,7
贾汉吉尔,0:00:07.701000,2,2
贾法尔,0:00:17.635000,4,4
贾瓦希尔,0:00:08.019000,2,2
贾瓦德,0:00:11.433000,2,2
赛场司仪,0:01:01.831000,9,9
赛芭,0:00:09.332000,2,2
赛诺,1:30:15.345000,926,926
赞同的观众,0:00:10.709000,4,4
赫塔,0:00:07.416000,2,2
赫尔曼,0:00:47.028000,12,12
走私商,0:00:12.413000,4,4
走私跟班,0:00:01.719000,1,1
路人,0:00:18.644000,4,4
路德温,0:00:27.143000,5,5
路爷,0:01:31.873000,15,15
轰大叔,0:02:56.693000,29,29
辉子,0:00:03.567000,1,1
辉少,0:00:03.805000,1,1
辛焱,1:01:13.055000,639,639
辛焱的母亲,0:00:25.288000,3,3
辛焱的父亲,0:00:17.503000,2,2
辛秀,0:00:08.988000,3,3
辛程,0:00:57.165000,11,11
达丽娜,0:00:07.863000,2,2
达列尔,0:00:10.164000,4,4
达纳,0:00:06.141000,2,2
达莉亚,0:00:08.821000,2,2
达达利亚,1:06:18.551000,692,692
迈勒斯,0:15:56.289000,139,139
迈蒙,0:05:43.996000,62,62
远处的声音,0:00:04.943000,3,3
迟疑的观众,0:00:05.423000,1,1
迪卢克,0:45:09.779000,623,623
迪奥娜,1:21:28.764000,800,800
迪娜泽黛,0:31:04.492000,328,328
迪尔菲,0:09:45.297000,93,93
迪希雅,1:39:18.140000,1029,1029
迪拉瓦尔,0:00:09.779000,2,2
迪肯,0:04:09.139000,35,35
迪迪巴巴,0:00:39.175000,11,11
迷茫的观众,0:00:06.347000,1,1
逢岩,0:01:24.575000,11,11
逸轩,0:00:59.896000,5,5
遇袭的小孩,0:00:05.725000,2,2
那维莱特,1:48:25.836000,985,985
酒井,0:01:02.679000,13,13
酒客众,0:00:05.887000,1,1
醉今朝,0:00:12.349000,1,1
醒悟的观众,0:00:05.277000,2,2
醒醒,0:00:05.884000,1,1
采珊,0:01:28.683000,16,16
里加斯,0:01:17.589000,18,18
里卡尔,0:04:01.356000,44,44
里夫,0:00:08.551000,4,4
里瑟,0:00:04.237000,1,1
重云,1:00:17.056000,696,696
重佐,0:03:29.244000,36,36
野伏众,0:00:02.344000,1,1
野崎,0:00:05.933000,2,2
野方,0:01:03.615000,15,15
金忽律,0:03:07.077000,43,43
金钟,0:00:09.391000,2,2
鉴秋,0:00:15.747000,3,3
钟离,2:10:01.369000,1097,1097
钦佩的观众,0:00:06.655000,1,1
钱德拉,0:02:13.128000,23,23
钱眼儿,0:00:16.368000,4,4
铁也,0:00:16.141000,2,2
铁块儿,0:00:10.653000,1,1
铁算盘,0:01:17.700000,15,15
铁膀子,0:00:52.791000,10,10
铁衫,0:00:02.901000,1,1
铁骨双刀,0:00:44.023000,7,7
铜雀,0:03:41.452000,26,26
银杏,0:04:21.259000,35,35
锅巴,0:00:19.033000,18,18
锦野玲玲,0:00:03.451000,1,1
镇海,0:00:02.724000,1,1
长冈秀满,0:00:06.383000,1,1
长平,0:00:38.459000,9,9
长濑,0:00:02.283000,1,1
长生,0:10:21.627000,86,86
长谷川,0:00:09.755000,2,2
长野原龙之介,0:03:09.020000,35,35
长门幸子,0:03:23.672000,27,27
长顺,0:01:11.355000,14,14
门罗,0:00:07.515000,2,2
阳介,0:00:03.265000,1,1
阳太,0:00:18.316000,3,3
阴沉的守卫,0:00:06.840000,3,3
阿三,0:01:15.365000,16,16
阿丑,0:00:43.459000,24,24
阿丹,0:00:39.128000,5,5
阿义,0:00:02.233000,1,1
阿二,0:01:25.537000,17,17
阿亚德瓦,0:00:10.076000,2,2
阿什亚,0:00:09.005000,2,2
阿什克,0:00:13.967000,3,3
阿什帕齐,0:00:07.700000,2,2
阿什莎布,0:00:05.632000,2,2
阿仁,0:01:45.636000,19,19
阿伟,0:00:10.480000,4,4
阿佐,0:00:05.519000,2,2
阿佑,0:00:03.491000,1,1
阿佩普,0:06:44.037000,43,43
阿克拉姆,0:00:07.300000,2,2
阿兹拉,0:00:05.184000,2,2
阿内,0:01:22.905000,11,11
阿凡,0:00:05.813000,2,2
阿创,0:00:33.579000,7,7
阿利娅,0:01:46.024000,23,23
阿加什,0:00:30.001000,7,7
阿升,0:00:47.364000,7,7
阿南德,0:00:06.992000,2,2
阿卜,0:00:05.455000,1,1
阿吉,0:01:10.193000,12,12
阿嘟,0:00:22.121000,3,3
阿圆,0:09:34.459000,80,80
阿塔,0:01:48.404000,18,18
阿外,0:01:16.885000,13,13
阿大,0:01:26.481000,15,15
阿夫塔,0:00:22.976000,4,4
阿夫辛,0:03:08.233000,30,30
阿妮萨,0:00:06.541000,1,1
阿娜耶,0:09:45.107000,105,105
阿孜米,0:00:10.419000,1,1
阿守,0:09:54.401000,126,126
阿守&阿晃,0:00:01.659000,1,1
阿宽,0:00:09.277000,3,3
阿尔亚沙,0:00:11.948000,3,3
阿尔卡米,0:08:18.695000,50,50
阿尔图,0:00:13.367000,3,3
阿尔弗雷德,0:00:05.697000,1,1
阿尔明,0:00:09.607000,3,3
阿尤布,0:00:07.675000,2,2
阿尼斯,0:02:26.380000,29,29
阿山婆,0:03:21.531000,23,23
阿巴克,0:00:05.592000,2,2
阿巴图伊,0:05:00.419000,44,44
阿巴奈尔,0:00:17.271000,2,2
阿巴尼斯,0:00:05.353000,2,2
阿布丁,0:00:07.969000,2,2
阿布多,0:00:38.756000,7,7
阿幸,0:04:32.244000,51,51
阿强,0:00:12.860000,3,3
阿德勒,0:00:20.664000,4,4
阿德菲,0:00:02.404000,1,1
阿志,0:00:03.900000,1,1
阿扎尔,0:11:35.903000,98,98
阿扎木,0:02:55.321000,30,30
阿扎莱,0:00:05.963000,2,2
阿托,0:00:21.503000,5,5
阿扣,0:00:05.608000,1,1
阿拉夫,0:06:09.604000,65,65
阿拉比,0:00:06.932000,2,2
阿拉耶什,0:00:05.728000,2,2
阿提亚,0:00:08.547000,2,2
阿敬,0:00:18.391000,5,5
阿斯法德,0:04:19.689000,27,27
阿方,0:00:40.713000,9,9
阿旭,0:03:00.319000,36,36
阿昊,0:00:15.181000,5,5
阿晃,0:08:58.512000,123,123
阿望,0:00:22.121000,3,3
阿木,0:00:01.611000,1,1
阿桂,0:01:27.151000,18,18
阿比德,0:00:22.667000,4,4
阿汉格尔,0:02:14.568000,25,25
阿法纳西,0:00:09.347000,2,2
阿波,0:00:01.961000,1,1
阿泰,0:00:04.648000,1,1
阿洛瓦,0:06:38.479000,93,93
阿玛兹亚,0:00:59.627000,13,13
阿玛尔,0:00:55.837000,9,9
阿瑟尔,0:00:02.841000,1,1
阿直,0:00:02.904000,1,1
阿祇,0:09:32.608000,89,89
阿笨,0:00:05.288000,1,1
阿米,0:00:09.853000,2,2
阿米尔,0:01:16.085000,14,14
阿维丝,0:01:59.223000,25,25
阿芬迪,0:02:14.452000,14,14
阿茂,0:01:35.073000,12,12
阿莎,0:00:09.279000,3,3
阿莎拉,0:00:15.249000,3,3
阿莱,0:00:36.023000,8,8
阿莲佐,0:00:35.752000,8,8
阿蒙苏,0:00:29.135000,5,5
阿虎,0:00:34.003000,6,6
阿诺德,0:03:19.641000,27,27
阿豪,0:00:09.637000,3,3
阿贝多,2:01:40.023000,1195,1195
阿贤,0:00:18.121000,6,6
阿里娜,0:00:09.548000,3,3
阿金,0:02:01.480000,16,16
阿阳,0:00:12.545000,3,3
阿雩,0:03:28.400000,41,41
阿飞,0:01:29.333000,18,18
阿鲁埃,0:00:08.584000,2,2
阿鸠,0:02:19.396000,17,17
阿麦努,0:00:45.751000,10,10
阿黛尔,0:01:19.785000,18,18
陆,0:00:02.667000,1,1
陶义隆,0:00:31.715000,5,5
隼人,0:00:52.655000,8,8
难过的浮游水蕈兽,0:00:01.016000,1,1
雄三,0:00:03.169000,1,1
雅丝敏,0:00:07.049000,2,2
雅普,0:00:19.021000,3,3
雅瓦娜尼,0:00:09.772000,3,3
雪怪伯,0:00:25.697000,6,6
雷汉,0:00:14.859000,2,2
雷泽,0:22:00.273000,402,402
雷温,0:00:03.187000,1,1
雷电将军,1:24:03.453000,750,750
雷萨,0:00:07.512000,2,2
雷萨哈尼,0:00:05.111000,1,1
雷蒙德,0:00:08.289000,1,1
震惊的观众,0:00:14.909000,4,4
霍夫曼,0:06:31.267000,89,89
霖铃,0:00:24.101000,4,4
露子,0:02:19.383000,21,21
露尔薇,0:03:04.304000,39,39
露瓦卜,0:01:41.388000,11,11
霹雳闪雷真君,0:00:09.832000,1,1
青木,0:00:03.051000,2,2
青涩的杀手,0:00:15.088000,2,2
青白,0:00:04.807000,1,1
青莲,0:00:15.441000,3,3
韦亚斯,0:00:14.487000,4,4
韦尔纳,0:04:27.835000,43,43
韦尔赛,0:01:28.016000,15,15
韵宁,0:04:54.656000,44,44
顺吉,0:02:00.044000,16,16
顺平,0:01:22.029000,12,12
须弥行人,0:00:00.780000,1,1
须美,0:00:04.479000,1,1
风速枣椰,0:00:25.964000,7,7
飞飞,0:01:46.516000,23,23
香川,0:00:01.473000,1,1
香菱,1:03:26.300000,661,661
马哈,0:00:04.073000,1,1
马坎,0:00:51.765000,9,9
马塞拉,0:00:04.283000,1,1
马姆杜,0:05:33.796000,52,52
马德莱娜,0:00:43.341000,7,7
马斯鲁尔,0:00:52.809000,10,10
马苏迪,0:00:09.108000,2,2
马茨,0:00:12.744000,3,3
马蒂纳,0:01:11.273000,18,18
马鲁夫,0:00:05.053000,2,2
马齐尔,0:00:06.831000,2,2
驹形,0:00:03.755000,1,1
骆丰,0:00:01.277000,1,1
高哈尔,0:00:07.499000,2,2
高善,0:02:16.541000,27,27
高坂,0:00:01.599000,1,1
高山,0:00:22.645000,4,4
高斐,0:00:03.203000,1,1
高桥,0:00:05.240000,2,2
高美,0:00:04.064000,1,1
高老六,0:01:16.389000,11,11
鬼伯伯,0:00:05.640000,1,1
鬼婆婆,0:02:08.981000,20,20
魈,0:48:08.373000,665,665
魏风尘,0:00:04.180000,1,1
鲁克沙,0:00:09.808000,3,3
鲁哈维,0:03:03.799000,25,25
鲁希,0:01:24.348000,20,20
鲁梅拉,0:00:10.660000,2,2
鲁达贝,0:00:11.045000,2,2
鲁道夫,0:00:05.857000,2,2
鲍里斯,0:00:02.692000,1,1
鲱鱼一番队队员,0:00:02.015000,1,1
鲸井小弟,0:00:35.556000,14,14
鲸井椛,0:00:03.683000,1,1
鸿兴,0:00:13.345000,3,3
鸿如,0:00:13.332000,6,6
鹤立,0:00:27.031000,7,7
鹰司千歌,0:00:48.631000,7,7
鹰司家臣,0:00:02.805000,1,1
鹰司朝秀,0:00:05.272000,1,1
鹰司进,0:01:12.047000,14,14
鹿野奈奈,0:08:07.596000,87,87
鹿野院平藏,1:22:57.867000,717,717
麦克,0:00:37.033000,8,8
麦凯什,0:01:42.639000,18,18
麦娜尔,0:00:38.180000,9,9
麦尔斯,0:00:13.281000,3,3
麦希尔,0:03:03.648000,33,33
麦扎尔,0:00:22.445000,3,3
麻纪,0:00:48.492000,11,11
麻美,0:01:30.060000,13,13
黄巨贾,0:00:06.515000,1,1
黄衫,0:00:02.684000,1,1
黄麻子,0:00:44.769000,7,7
黑泽京之介,0:04:20.565000,34,34
黑田,0:06:10.640000,55,55
黛丝蕾,0:00:18.455000,3,3
黛丝蕾父亲,0:00:13.269000,2,2
黛安,0:00:03.701000,1,1
黛比,0:02:47.488000,38,38
齐亚德,0:00:05.017000,2,2
齐格芙丽雅,0:00:39.885000,10,10
齐米亚,0:03:01.463000,29,29
齐米娅,0:00:07.480000,2,2
齐里亚布,0:00:16.568000,4,4
龙二,0:09:07.593000,82,82
