角色名,总时长(时:分:秒.毫秒),音频数量,标注数量
胡塞尼,0:00:05.837000,1,1
胡尚,0:02:24.387000,35,35
胡桃,0:56:46.995000,661,661
胡瓦,0:00:25.281000,5,5
胡马延,0:00:19.716000,4,4
脑海中回荡的声音,0:01:06.315000,6,6
自信的观众,0:00:23.949000,7,7
自称「渊上」之物,0:04:08.556000,28,28
舍万,0:00:17.123000,6,6
舍利夫,0:04:58.045000,69,69
舒伯特,0:08:27.064000,86,86
舒杨,0:00:11.889000,3,3
舒茨,0:00:52.219000,12,12
舒莱赫,0:00:17.193000,4,4
般底,0:00:19.969000,3,3
船夫,0:00:14.480000,3,3
良子,0:01:17.523000,16,16
良平,0:00:05.975000,2,2
艾伦,0:03:02.377000,40,40
艾伯特,0:05:27.270000,73,73
艾依曼,0:00:38.389000,10,10
艾尔海森,1:27:44.128000,1070,1070
艾尔菲,0:00:11.048000,3,3
艾希拉,0:00:05.256000,2,2
艾德娜,0:00:25.495000,6,6
艾德里安,0:01:20.637000,13,13
艾拉姆,0:00:46.492000,9,9
艾文,0:05:57.003000,75,75
艾斯特尔,0:00:03.815000,1,1
艾方索,0:00:11.047000,4,4
艾玛尔,0:00:03.028000,1,1
艾珂,0:00:02.199000,1,1
艾琪诺,0:00:01.949000,1,1
艾琳,0:04:01.784000,53,53
艾登,0:00:08.844000,2,2
艾米尔,0:00:31.647000,9,9
艾维娜,0:00:05.183000,2,2
艾莉丝,0:09:51.412000,82,82
艾莉亚,0:00:06.552000,2,2
艾莎,0:00:34.651000,5,5
艾莲娜,0:00:06.728000,2,2
艾贝,0:00:20.085000,8,8
艾辛多弗,0:00:21.024000,4,4
艾迪丝博士,0:00:16.071000,3,3
芊芊,0:01:17.321000,16,16
芙卡洛斯,0:09:48.869000,80,80
芙宁娜,1:34:34.432000,909,909
芙萝拉,0:03:17.188000,44,44
芙蓉,0:00:33.964000,9,9
芝拉,0:00:10.020000,2,2
芬德,0:00:02.751000,1,1
芭芭拉,1:01:10.396000,750,750
花初,0:00:06.501000,2,2
芷巧,0:04:45.173000,46,46
芷若,0:00:02.136000,1,1
苏二娘,0:00:02.564000,1,1
苏尔塔尼,0:00:09.581000,2,2
苏莱卡,0:00:05.819000,2,2
苏西,0:00:56.360000,13,13
若心,0:02:54.347000,23,23
若紫,0:00:01.776000,1,1
若陀龙王,0:00:55.141000,9,9
苦恼的特利芙,0:00:01.584000,1,1
苦恼的莉安,0:00:02.909000,1,1
茂才公,0:02:25.115000,27,27
范二爷,0:00:32.355000,7,7
范兵卫,0:00:08.936000,2,2
茅葺一庆,0:00:38.627000,6,6
茉莉,0:00:02.083000,1,1
茱塔,0:00:04.368000,1,1
茱萸,0:00:02.745000,1,1
茶博士刘苏,0:00:53.780000,4,4
荒川幸次,0:00:19.893000,4,4
荒泷一斗,1:46:14.737000,1199,1199
荒谷,0:02:12.715000,25,25
荣江,0:00:06.627000,2,2
荧,2:00:52.404000,377,377
荫山,0:00:40.338000,9,9
荷尔德林,0:00:01.524000,1,1
莉兹,0:00:01.300000,1,1
莉尔,0:00:09.328000,2,2
莉拉,0:00:10.312000,2,2
莉莉,0:00:05.859000,2,2
莉莉安,0:01:51.791000,18,18
莎塔,0:00:04.712000,2,2
莎拉,0:06:23.673000,95,95
莎梅耶,0:00:05.144000,2,2
莎莉,0:00:07.599000,2,2
莎莎,0:00:02.800000,1,1
莎莎妮,0:00:08.403000,2,2
莎菲,0:00:07.621000,2,2
莎菲亚,0:00:04.379000,2,2
莎迪耶,0:00:05.377000,2,2
莫塞伊思,0:06:11.691000,65,65
莫娜,1:20:36.633000,910,910
莫娜的实验室,0:00:12.656000,3,3
莫孜甘,0:00:04.368000,2,2
莫尔吉,0:01:33.664000,16,16
莫约,0:00:09.301000,3,3
莫莉,0:00:13.692000,3,3
莫莱妮,0:00:15.901000,4,4
莫里斯,0:01:58.107000,28,28
莱依拉,1:52:06.459000,974,974
莱克图尔,0:00:36.224000,7,7
莱内,0:00:05.064000,1,1
莱奥尼德,0:00:58.587000,15,15
莱拉,0:00:07.423000,2,2
莱斯,0:00:16.501000,6,6
莱斯利,0:00:02.408000,1,1
莱斯格,0:03:58.423000,46,46
莱斯科·德斯特雷,0:00:31.928000,5,5
莱昂,0:04:03.475000,36,36
莱欧斯利,0:58:51.669000,709,709
莱蒂法,0:01:19.355000,16,16
莱诺,0:00:11.380000,5,5
莲塔,0:00:11.527000,4,4
莺儿,0:07:44.964000,83,83
菜菜子,0:01:49.289000,21,21
菱田,0:00:22.640000,4,4
菲利克斯,0:01:50.249000,20,20
菲尔戈黛特,0:04:19.224000,53,53
菲尔汀,0:01:21.823000,14,14
菲德兰,0:00:01.299000,1,1
菲恩,0:00:19.696000,5,5
菲米尼,0:44:05.263000,326,326
菲茨罗伊,0:00:55.531000,9,9
菲谢尔,0:48:13.929000,446,446
菲谢尔的母亲,0:00:34.629000,4,4
菲谢尔的父亲,0:00:22.899000,2,2
萍姥姥,0:37:46.933000,268,268
萨义德,0:00:12.048000,3,3
萨勒,0:00:04.553000,2,2
萨哈尔,0:00:08.532000,2,2
萨基,0:00:03.081000,1,1
萨塔尔,0:01:12.728000,13,13
萨宾,0:00:04.285000,1,1
萨尔姆,0:00:08.612000,2,2
萨尼娅,0:00:07.788000,4,4
萨德赫,0:00:34.633000,7,7
萨拉尔,0:00:16.169000,4,4
萨福万,0:01:53.216000,17,17
萨纳德,0:00:12.376000,4,4
萨蒂,0:00:05.460000,2,2
萨赫哈蒂,0:05:06.376000,41,41
萨齐因,0:06:08.828000,32,32
落,0:00:04.011000,1,1
落霞,0:00:03.020000,1,1
葛瑞丝,0:02:04.041000,22,22
葛罗丽,0:00:37.067000,9,9
葫芦,0:00:04.181000,1,1
葵,0:03:04.256000,28,28
蒂亚,0:00:05.423000,2,2
蒂埃里,0:02:24.723000,27,27
蒂玛乌斯,0:12:46.988000,151,151
蒂雅,0:00:05.193000,2,2
蒙蒙,0:00:02.656000,1,1
蒲泽,0:00:39.303000,7,7
蓝川丞,0:00:53.349000,14,14
蔡乐,0:00:15.692000,5,5
蔡寻,0:00:21.996000,7,7
蕾娅,0:00:05.272000,2,2
薇娜,0:01:53.267000,18,18
薇尔,0:02:31.712000,24,24
薇涅尔,0:08:07.367000,49,49
薇若妮卡,0:02:23.471000,33,33
薮木,0:00:03.267000,1,1
藤原俊子,0:00:01.276000,1,1
藤木,0:01:09.891000,17,17
虎之助,0:00:02.145000,1,1
蛮横的守卫,0:00:03.937000,1,1
行秋,0:42:59.684000,524,524
表情低落的犯人,0:00:30.521000,5,5
表情狰狞的犯人,0:00:25.867000,6,6
裕子,0:00:31.932000,12,12
裕明,0:00:34.272000,10,10
西口,0:00:04.068000,1,1
西尔弗,0:02:10.213000,41,41
西拉杰,0:05:57.277000,52,52
西敏,0:00:25.195000,8,8
西格,0:00:08.504000,2,2
西瓦尼,0:02:03.667000,19,19
西西,0:00:25.016000,4,4
西达,0:00:31.755000,5,5
西风骑士,0:00:03.217000,2,2
观众,0:00:35.879000,10,10
观海,0:01:23.580000,19,19
言笑,0:05:25.587000,77,77
詹妮特,0:00:04.225000,1,1
认可的观众,0:00:14.640000,2,2
认真的观众,0:00:06.252000,1,1
讥讽的观众,0:00:04.213000,1,1
诗筠,0:04:19.961000,62,62
诗羽,0:00:15.741000,3,3
诚二,0:00:06.751000,2,2
诺拉,0:00:17.768000,6,6
诺曼,0:00:29.316000,7,7
诺玛,0:00:03.596000,1,1
诺艾尔,1:17:15.891000,963,963
谜之声,0:00:11.749000,3,3
谢尔盖,0:01:21.481000,19,19
谢赫祖拜尔,0:04:41.072000,51,51
豁牙子,0:00:02.275000,1,1
贝儿,0:00:32.388000,10,10
贝哈姆,0:00:09.151000,2,2
贝妮蒂,0:00:20.120000,4,4
贝尔卡塞姆,0:00:14.612000,4,4
贝尔福,0:00:24.228000,4,4
贝拉特,0:00:06.983000,2,2
贝海姆,0:00:14.924000,2,2
贝琳达,0:01:03.068000,18,18
贝西,0:00:11.817000,3,3
贝雅特丽奇,0:04:32.632000,64,64
贝鲁兹,0:00:05.487000,2,2
质疑的观众,0:00:19.589000,4,4
贵安,0:00:07.745000,1,1
费尔比,0:00:09.533000,2,2
费索勒,0:02:16.979000,32,32
费罗兹,0:00:04.895000,2,2
费迪南德,0:05:03.661000,76,76
费雷斯特,0:00:13.193000,3,3
贾扬特,0:00:15.679000,3,3
贾拉康,0:02:00.799000,15,15
贾汉,0:00:22.793000,7,7
贾汉吉尔,0:00:07.955000,2,2
贾法尔,0:00:11.801000,4,4
贾瓦希尔,0:00:07.305000,2,2
贾瓦德,0:00:07.785000,2,2
赛场司仪,0:00:35.737000,9,9
赛芭,0:00:06.627000,2,2
赛诺,1:08:22.505000,926,926
赞同的观众,0:00:08.119000,4,4
赫塔,0:00:05.171000,2,2
赫尔曼,0:00:57.504000,12,12
走私商,0:00:14.319000,4,4
走私跟班,0:00:02.068000,1,1
路人,0:00:22.735000,4,4
路德温,0:00:13.885000,5,5
路爷,0:01:35.159000,15,15
轰大叔,0:02:33.600000,29,29
辉子,0:00:01.532000,1,1
辉少,0:00:02.264000,1,1
辛焱,0:54:15.973000,636,636
辛秀,0:00:09.640000,3,3
辛程,0:00:53.952000,11,11
达丽娜,0:00:05.925000,2,2
达列尔,0:00:11.953000,4,4
达纳,0:00:05.724000,2,2
达莉亚,0:00:06.348000,2,2
达达利亚,0:58:41.985000,692,692
迈勒斯,0:13:37.549000,139,139
迈蒙,0:05:25.713000,62,62
进入内室,0:00:02.704000,1,1
远处的声音,0:00:12.800000,3,3
迟疑的观众,0:00:06.219000,1,1
迪卢克,0:37:43.112000,621,621
迪奥娜,1:13:37.125000,799,799
迪娜泽黛,0:29:03.200000,328,328
迪尔菲,0:07:18.756000,93,93
迪希雅,1:27:31.272000,1029,1029
迪拉瓦尔,0:00:08.575000,2,2
迪肯,0:03:53.948000,35,35
迪迪巴巴,0:00:31.501000,11,11
迷茫的观众,0:00:07.427000,1,1
逢岩,0:01:02.901000,11,11
逸轩,0:00:56.436000,5,5
遇袭的小孩,0:00:05.712000,2,2
那维莱特,1:41:45.483000,985,985
酒井,0:01:00.879000,13,13
酒客众,0:00:06,1,1
醉今朝,0:00:06.081000,1,1
醒悟的观众,0:00:03.381000,2,2
采珊,0:01:24.569000,16,16
里加斯,0:01:08.475000,18,18
里卡尔,0:03:25.961000,44,44
里夫,0:00:08.849000,4,4
里瑟,0:00:02,1,1
重云,0:56:54.019000,696,696
重佐,0:02:52.521000,36,36
野伏众,0:00:02.180000,1,1
野崎,0:00:03.916000,2,2
野方,0:00:56.363000,15,15
金忽律,0:02:58.293000,43,43
金钟,0:00:06.457000,2,2
鉴秋,0:00:10.789000,3,3
钟离,1:45:27.823000,1098,1098
钦佩的观众,0:00:04.324000,1,1
钱德拉,0:02:03.493000,23,23
钱眼儿,0:00:12.929000,4,4
铁也,0:00:12.767000,2,2
铁块儿,0:00:04.921000,1,1
铁算盘,0:01:23.112000,15,15
铁膀子,0:00:39.676000,10,10
铁衫,0:00:00.784000,1,1
铁骨双刀,0:00:35.493000,7,7
铜雀,0:02:40.888000,26,26
银杏,0:03:26.888000,35,35
锅巴,0:00:19.033000,18,18
锦野玲玲,0:00:04.225000,1,1
镀金旅团成员,0:00:09.560000,4,4
镇海,0:00:01.943000,1,1
长冈秀满,0:00:03.920000,1,1
长平,0:00:32.077000,9,9
长濑,0:00:03.440000,1,1
长生,0:06:43.648000,86,86
长谷川,0:00:07.731000,2,2
长野原龙之介,0:03:10.649000,35,35
长门幸子,0:02:55.665000,27,27
长顺,0:00:59.704000,14,14
门内的声音,0:00:08.288000,1,1
门罗,0:00:05.915000,2,2
阳介,0:00:01.939000,1,1
阳太,0:00:13.807000,3,3
阳斗,0:00:01.440000,1,1
阴沉的守卫,0:00:08.259000,3,3
阿三,0:01:15.143000,14,14
阿丑,0:00:47.160000,26,26
阿丹,0:00:28.792000,5,5
阿义,0:00:01.996000,1,1
阿二,0:01:16.427000,17,17
阿亚德瓦,0:00:12.924000,2,2
阿亮,0:00:30.328000,5,5
阿什亚,0:00:08.996000,2,2
阿什克,0:00:11.592000,3,3
阿什帕齐,0:00:05.360000,2,2
阿什莎布,0:00:05.827000,2,2
阿仁,0:01:43.064000,19,19
阿伟,0:00:04.516000,2,2
阿佐,0:00:05.839000,2,2
阿佑,0:00:00.613000,1,1
阿佩普,0:06:20.725000,43,43
阿克拉姆,0:00:07.416000,2,2
阿兹拉,0:00:05.049000,2,2
阿内,0:00:53.027000,11,11
阿凡,0:00:12.079000,2,2
阿创,0:00:29.113000,7,7
阿利娅,0:01:47.999000,23,23
阿加什,0:00:38.640000,7,7
阿升,0:00:46.560000,7,7
阿南德,0:00:04.836000,2,2
阿卜,0:00:02.099000,1,1
阿吉,0:00:54.915000,12,12
阿嘟,0:00:17.437000,3,3
阿圆,0:07:59.541000,80,80
阿塔,0:01:36.385000,18,18
阿外,0:00:55.769000,13,13
阿大,0:01:23.001000,15,15
阿夫塔,0:00:17.511000,4,4
阿夫辛,0:02:31.732000,30,30
阿妮萨,0:00:04.179000,1,1
阿娜耶,0:07:48.813000,105,105
阿孜米,0:00:07.812000,1,1
阿守,0:08:19.901000,126,126
阿守&阿晃,0:00:01.240000,1,1
阿宽,0:00:07.475000,3,3
阿尔亚沙,0:00:18.497000,3,3
阿尔卡米,0:05:02.081000,50,50
阿尔图,0:00:08.583000,3,3
阿尔弗雷德,0:00:04.635000,1,1
阿尔明,0:00:07.016000,3,3
阿尤布,0:00:09.504000,2,2
阿尼斯,0:02:10.428000,29,29
阿山婆,0:03:01.297000,23,23
阿巴克,0:00:06.053000,2,2
阿巴图伊,0:05:44.433000,44,44
阿巴奈尔,0:00:17.345000,2,2
阿巴尼斯,0:00:04.957000,2,2
阿布丁,0:00:04.729000,2,2
阿布多,0:00:35.253000,7,7
阿幸,0:03:41.417000,51,51
阿强,0:00:12.257000,3,3
阿德勒,0:00:12.259000,3,3
阿德菲,0:00:01.880000,1,1
阿扎尔,0:11:43.027000,98,98
阿扎木,0:02:52.232000,30,30
阿扎莱,0:00:04.431000,2,2
阿托,0:00:17.916000,5,5
阿扣,0:00:06.461000,1,1
阿拉夫,0:05:41.468000,65,65
阿拉比,0:00:04.752000,2,2
阿拉耶什,0:00:05.240000,2,2
阿提亚,0:00:06.364000,2,2
阿斯法德,0:03:42.917000,27,27
阿方,0:00:33.956000,9,9
阿旭,0:02:36.104000,36,36
阿昊,0:00:07.052000,2,2
阿晃,0:08:03.312000,123,123
阿望,0:00:17.437000,3,3
阿木,0:00:01.317000,1,1
阿桂,0:01:16.133000,18,18
阿比德,0:00:13.596000,4,4
阿汉格尔,0:02:34.275000,25,25
阿法纳西,0:00:09.305000,2,2
阿波,0:00:01.580000,1,1
阿泰,0:00:03.947000,1,1
阿洛瓦,0:07:08.124000,94,94
阿玛兹亚,0:00:57.087000,13,13
阿玛尔,0:00:54.125000,9,9
阿瑟尔,0:00:03.064000,1,1
阿直,0:00:01.968000,1,1
阿祇,0:08:34.351000,89,89
阿笨,0:00:03.403000,1,1
阿米,0:00:06.216000,2,2
阿米尔,0:01:06.885000,14,14
阿维丝,0:01:49.039000,25,25
阿芬迪,0:01:39.789000,14,14
阿芷,0:00:03.285000,1,1
阿茂,0:01:19.692000,12,12
阿莎,0:00:08.877000,3,3
阿莎拉,0:00:11.921000,3,3
阿莱,0:00:24.532000,8,8
阿莲佐,0:00:33.880000,8,8
阿蒙苏,0:00:24.453000,5,5
阿虎,0:00:37.265000,6,6
阿诺德,0:02:13.417000,27,27
阿豪,0:00:06.983000,3,3
阿贝多,1:35:37.217000,1197,1197
阿贤,0:00:20.324000,6,6
阿迪勒,0:00:18.680000,4,4
阿里娜,0:00:09.976000,3,3
阿金,0:01:39.732000,16,16
阿阳,0:00:11.071000,3,3
阿雩,0:02:52.541000,41,41
阿飞,0:01:36.521000,18,18
阿鲁埃,0:00:07.863000,2,2
阿鸠,0:02:05.404000,17,17
阿麦努,0:00:44.057000,10,10
阿黛尔,0:01:07.951000,18,18
陆,0:00:02.837000,1,1
陆行岩本真蕈·元素生命,0:05:29.805000,37,37
陆行水本真蕈·元素生命,0:00:14.296000,4,4
陶义隆,0:00:27.121000,5,5
隼人,0:00:48.584000,8,8
难过的浮游水蕈兽,0:00:01.016000,1,1
雄三,0:00:04.093000,1,1
雅丝敏,0:00:04.571000,2,2
雅普,0:00:20.952000,3,3
雅瓦娜尼,0:00:07.415000,3,3
雪怪伯,0:00:26.660000,6,6
雷汉,0:00:13.083000,2,2
雷泽,0:24:31.969000,405,405
雷温,0:00:02.165000,1,1
雷电将军,1:07:13.620000,750,750
雷萨,0:00:08.709000,2,2
雷萨哈尼,0:00:06.556000,1,1
雷蒙德,0:00:07.457000,1,1
震惊的观众,0:00:11.089000,4,4
霍夫曼,0:05:17.365000,89,89
霖铃,0:00:16.652000,4,4
露子,0:02:16.233000,21,21
露尔薇,0:02:29.631000,39,39
露瓦卜,0:01:06.531000,11,11
霹雳闪雷真君,0:00:07.224000,1,1
青木,0:00:03.256000,2,2
青涩的杀手,0:00:13.240000,2,2
青白,0:00:05.219000,1,1
青莲,0:00:05.091000,1,1
韦亚斯,0:00:13.271000,4,4
韦尔纳,0:04:09.700000,43,43
韦尔赛,0:01:19.595000,15,15
韵宁,0:03:24.180000,44,44
顺吉,0:01:45.492000,16,16
顺平,0:01:04.225000,12,12
须弥行人,0:00:00.736000,1,1
须美,0:00:02.704000,1,1
风速枣椰,0:00:22.243000,7,7
风龙,0:00:21.203000,7,7
飞飞,0:01:42.613000,23,23
香川,0:00:03.752000,1,1
香菱,0:53:28.377000,662,662
马克西姆,0:00:37.277000,7,7
马哈,0:00:03.120000,1,1
马坎,0:00:34.767000,9,9
马塞尔,0:00:22.980000,6,6
马塞拉,0:00:02.508000,1,1
马姆杜,0:04:47.125000,52,52
马斯鲁尔,0:00:45.904000,10,10
马苏迪,0:00:07.597000,2,2
马茨,0:00:09.404000,3,3
马蒂纳,0:00:48.533000,18,18
马鲁夫,0:00:05.812000,2,2
马齐尔,0:00:07.944000,2,2
驹形,0:00:01.409000,1,1
骆丰,0:00:02.228000,1,1
高哈尔,0:00:04.949000,2,2
高善,0:02:27.607000,27,27
高坂,0:00:01.814000,1,1
高山,0:00:20.625000,4,4
高志,0:00:17.968000,5,5
高斐,0:00:02.649000,1,1
高桥,0:00:04.221000,2,2
高美,0:00:04.509000,1,1
高老六,0:01:15.592000,11,11
鬼伯伯,0:00:04.461000,1,1
鬼婆婆,0:01:45.237000,20,20
魈,0:46:26.225000,669,669
魏风尘,0:00:03.745000,1,1
魔女N,0:02:42.256000,20,20
鲁克沙,0:00:06.565000,3,3
鲁哈维,0:02:49.081000,25,25
鲁希,0:01:23.136000,20,20
鲁梅拉,0:00:08.005000,2,2
鲁达贝,0:00:15.985000,2,2
鲁道夫,0:00:04.295000,2,2
鲍里斯,0:00:01.520000,1,1
鲱鱼一番队队员,0:00:02.168000,1,1
鲸井小弟,0:00:43.961000,14,14
鲸井椛,0:00:02.912000,1,1
鸿兴,0:00:12.839000,3,3
鸿如,0:00:11.760000,6,6
鹤立,0:00:23.581000,7,7
鹰司千歌,0:00:36.175000,7,7
鹰司家臣,0:00:02.955000,1,1
鹰司朝秀,0:00:02.568000,1,1
鹰司进,0:01:05.772000,14,14
鹿野奈奈,0:05:49.333000,87,87
鹿野院平藏,1:08:22.275000,717,717
麦克,0:00:32.020000,8,8
麦凯什,0:01:40.919000,18,18
麦娜尔,0:00:34.155000,10,10
麦尔斯,0:00:13.607000,3,3
麦希尔,0:03:01.324000,33,33
麦扎尔,0:00:18.152000,3,3
麻纪,0:00:33.440000,11,11
麻美,0:01:24.243000,13,13
黄巨贾,0:00:05.491000,1,1
黄衫,0:00:02.057000,1,1
黄麻子,0:00:31.136000,7,7
黑泽京之介,0:03:22.400000,34,34
黑田,0:04:55.979000,55,55
黛丝蕾,0:00:12.075000,3,3
黛丝蕾父亲,0:00:11.785000,2,2
黛安,0:00:03.264000,1,1
黛比,0:02:28.577000,38,38
齐亚德,0:00:02.540000,2,2
齐格芙丽雅,0:00:31.589000,10,10
齐米亚,0:02:35.639000,29,29
齐米娅,0:00:04.581000,2,2
齐里亚布,0:00:15.169000,4,4
龙二,0:07:17.429000,82,82
